,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
10946,2015,1,1,4,AA,209,N3LRAA,SFO,LAX,1805,1919,74,15.0,1934.0,80,80.0,52.0,337,2026.0,13.0,1925,2039,74,0,0,,0.0,0.0,0.0,74.0,0.0
11077,2015,1,1,4,WN,1365,N655WN,LAX,SFO,1815,1834,19,14.0,1848.0,75,76.0,57.0,337,1945.0,5.0,1930,1950,20,0,0,,1.0,0.0,0.0,19.0,0.0
11192,2015,1,1,4,VX,941,N851VA,LAX,SFO,1825,1819,-6,16.0,1835.0,80,75.0,54.0,337,1929.0,5.0,1945,1934,-11,0,0,,,,,,
11338,2015,1,1,4,VX,938,N628VA,SFO,LAX,1835,1832,-3,8.0,1840.0,80,68.0,55.0,337,1935.0,5.0,1955,1940,-15,0,0,,,,,,
11578,2015,1,1,4,UA,1254,N37464,LAX,SFO,1851,1852,1,22.0,1914.0,85,79.0,52.0,337,2006.0,5.0,2016,2011,-5,0,0,,,,,,
11944,2015,1,1,4,VX,942,N523VA,SFO,LAX,1920,1915,-5,9.0,1924.0,80,72.0,54.0,337,2018.0,9.0,2040,2027,-13,0,0,,,,,,
12034,2015,1,1,4,UA,738,N405UA,SFO,LAX,1926,1928,2,16.0,1944.0,83,77.0,49.0,337,2033.0,12.0,2049,2045,-4,0,0,,,,,,
12277,2015,1,1,4,WN,2791,N353SW,LAX,SFO,1945,1945,0,11.0,1956.0,75,72.0,57.0,337,2053.0,4.0,2100,2057,-3,0,0,,,,,,
12510,2015,1,1,4,UA,746,N463UA,LAX,SFO,2000,1956,-4,13.0,2009.0,83,75.0,58.0,337,2107.0,4.0,2123,2111,-12,0,0,,,,,,
12527,2015,1,1,4,WN,1454,N655WN,SFO,LAX,2000,2014,14,10.0,2024.0,80,71.0,55.0,337,2119.0,6.0,2120,2125,5,0,0,,,,,,
12663,2015,1,1,4,AA,219,N3KYAA,SFO,LAX,2010,2005,-5,13.0,2018.0,90,77.0,52.0,337,2110.0,12.0,2140,2122,-18,0,0,,,,,,
12780,2015,1,1,4,AA,2465,N3LRAA,LAX,SFO,2020,2118,58,16.0,2134.0,80,102.0,56.0,337,2230.0,30.0,2140,2300,80,0,0,,22.0,0.0,0.0,58.0,0.0
12841,2015,1,1,4,VX,947,N844VA,LAX,SFO,2030,2029,-1,8.0,2037.0,75,82.0,56.0,337,2133.0,18.0,2145,2151,6,0,0,,,,,,
12842,2015,1,1,4,VX,948,N851VA,SFO,LAX,2030,2027,-3,10.0,2037.0,80,84.0,58.0,337,2135.0,16.0,2150,2151,1,0,0,,,,,,
13741,2015,1,1,4,UA,599,N405UA,LAX,SFO,2235,2231,-4,16.0,2247.0,84,76.0,56.0,337,2343.0,4.0,2359,2347,-12,0,0,,,,,,
13784,2015,1,1,4,UA,724,N467UA,SFO,LAX,2249,2245,-4,40.0,2325.0,85,104.0,51.0,337,16.0,13.0,0014,0029,15,0,0,,15.0,0.0,0.0,0.0,0.0
14267,2015,1,2,5,UA,297,N851UA,SFO,LAX,0600,0610,10,12.0,622.0,87,70.0,49.0,337,711.0,9.0,0727,0720,-7,0,0,,,,,,
14362,2015,1,2,5,WN,1456,N670SW,SFO,LAX,0600,0557,-3,15.0,612.0,80,70.0,51.0,337,703.0,4.0,0720,0707,-13,0,0,,,,,,
14637,2015,1,2,5,UA,414,N464UA,LAX,SFO,0603,0554,-9,19.0,613.0,86,85.0,57.0,337,710.0,9.0,0729,0719,-10,0,0,,,,,,
14668,2015,1,2,5,WN,2242,N346SW,LAX,SFO,0605,0622,17,13.0,635.0,80,74.0,57.0,337,732.0,4.0,0725,0736,11,0,0,,,,,,
15311,2015,1,2,5,VX,922,N846VA,SFO,LAX,0645,0639,-6,10.0,649.0,80,64.0,50.0,337,739.0,4.0,0805,0743,-22,0,0,,,,,,
15420,2015,1,2,5,AA,338,N3GDAA,LAX,SFO,0650,0647,-3,15.0,702.0,80,73.0,55.0,337,757.0,3.0,0810,0800,-10,0,0,,,,,,
15558,2015,1,2,5,VX,925,N525VA,LAX,SFO,0700,0657,-3,9.0,706.0,80,70.0,57.0,337,803.0,4.0,0820,0807,-13,0,0,,,,,,
16191,2015,1,2,5,AA,76,N3LWAA,SFO,LAX,0730,0722,-8,15.0,737.0,85,82.0,54.0,337,831.0,13.0,0855,0844,-11,0,0,,,,,,
16495,2015,1,2,5,WN,1545,N670SW,LAX,SFO,0750,0748,-2,10.0,758.0,75,74.0,59.0,337,857.0,5.0,0905,0902,-3,0,0,,,,,,
16553,2015,1,2,5,WN,2331,N346SW,SFO,LAX,0755,0753,-2,23.0,816.0,80,91.0,56.0,337,912.0,12.0,0915,0924,9,0,0,,,,,,
16635,2015,1,2,5,VX,1930,N843VA,SFO,LAX,0800,0758,-2,26.0,824.0,80,91.0,55.0,337,919.0,10.0,0920,0929,9,0,0,,,,,,
17057,2015,1,2,5,UA,460,N851UA,LAX,SFO,0820,0822,2,30.0,852.0,98,91.0,58.0,337,950.0,3.0,0958,0953,-5,0,0,,,,,,
17584,2015,1,2,5,UA,479,N817UA,SFO,LAX,0850,1115,145,25.0,1140.0,88,92.0,54.0,337,1234.0,13.0,1018,1247,149,0,0,,4.0,0.0,14.0,131.0,0.0
17776,2015,1,2,5,AA,338,N3GDAA,SFO,LAX,0900,0856,-4,14.0,910.0,90,84.0,53.0,337,1003.0,17.0,1030,1020,-10,0,0,,,,,,
17877,2015,1,2,5,WN,920,N670SW,SFO,LAX,0905,0941,36,13.0,954.0,80,75.0,55.0,337,1049.0,7.0,1025,1056,31,0,0,,0.0,0.0,31.0,0.0,0.0
17943,2015,1,2,5,VX,935,N846VA,LAX,SFO,0910,0907,-3,8.0,915.0,80,70.0,56.0,337,1011.0,6.0,1030,1017,-13,0,0,,,,,,
18293,2015,1,2,5,UA,1256,N76522,LAX,SFO,0935,0939,4,18.0,957.0,90,77.0,55.0,337,1052.0,4.0,1105,1056,-9,0,0,,,,,,
18479,2015,1,2,5,WN,2006,N346SW,LAX,SFO,0945,1005,20,12.0,1017.0,75,72.0,56.0,337,1113.0,4.0,1100,1117,17,0,0,,0.0,0.0,9.0,8.0,0.0
18574,2015,1,2,5,AA,2378,N3JJAA,LAX,SFO,0950,0952,2,51.0,1043.0,85,120.0,65.0,337,1148.0,4.0,1115,1152,37,0,0,,37.0,0.0,0.0,0.0,0.0
18867,2015,1,2,5,WN,2346,N602SW,SFO,LAX,1005,1007,2,13.0,1020.0,80,81.0,54.0,337,1114.0,14.0,1125,1128,3,0,0,,,,,,
19011,2015,1,2,5,UA,814,N819UA,SFO,LAX,1012,1015,3,12.0,1027.0,93,74.0,52.0,337,1119.0,10.0,1145,1129,-16,0,0,,,,,,
19702,2015,1,2,5,WN,1009,N670SW,LAX,SFO,1055,1133,38,12.0,1145.0,75,72.0,57.0,337,1242.0,3.0,1210,1245,35,0,0,,6.0,0.0,0.0,29.0,0.0
19871,2015,1,2,5,UA,531,N832UA,SFO,LAX,1105,1103,-2,14.0,1117.0,93,98.0,59.0,337,1216.0,25.0,1238,1241,3,0,0,,,,,,
19951,2015,1,2,5,UA,731,N815UA,LAX,SFO,1110,1313,123,33.0,1346.0,95,93.0,55.0,337,1441.0,5.0,1245,1446,121,0,0,,0.0,0.0,121.0,0.0,0.0
19957,2015,1,2,5,VX,330,N633VA,SFO,LAX,1110,1108,-2,14.0,1122.0,80,79.0,56.0,337,1218.0,9.0,1230,1227,-3,0,0,,,,,,
20210,2015,1,2,5,VX,927,N852VA,LAX,SFO,1125,1136,11,11.0,1147.0,80,72.0,57.0,337,1244.0,4.0,1245,1248,3,0,0,,,,,,
20415,2015,1,2,5,WN,2509,N346SW,SFO,LAX,1135,1144,9,15.0,1159.0,80,75.0,54.0,337,1253.0,6.0,1255,1259,4,0,0,,,,,,
20749,2015,1,2,5,WN,2779,N602SW,LAX,SFO,1155,1158,3,8.0,1206.0,75,71.0,58.0,337,1304.0,5.0,1310,1309,-1,0,0,,,,,,
20996,2015,1,2,5,UA,706,N412UA,SFO,LAX,1207,1239,32,12.0,1251.0,93,77.0,54.0,337,1345.0,11.0,1340,1356,16,0,0,,0.0,0.0,16.0,0.0,0.0
21120,2015,1,2,5,AA,2378,N3JJAA,SFO,LAX,1215,1239,24,28.0,1307.0,80,90.0,52.0,337,1359.0,10.0,1335,1409,34,0,0,,12.0,0.0,0.0,22.0,0.0
21321,2015,1,2,5,UA,239,N819UA,LAX,SFO,1230,1231,1,25.0,1256.0,81,82.0,53.0,337,1349.0,4.0,1351,1353,2,0,0,,,,,,
21633,2015,1,2,5,WN,1098,N670SW,SFO,LAX,1250,1312,22,9.0,1321.0,80,67.0,54.0,337,1415.0,4.0,1410,1419,9,0,0,,,,,,
22216,2015,1,2,5,UA,1531,N14250,SFO,LAX,1323,1320,-3,12.0,1332.0,96,80.0,56.0,337,1428.0,12.0,1459,1440,-19,0,0,,,,,,
22235,2015,1,2,5,VX,928,N528VA,SFO,LAX,1325,1327,2,8.0,1335.0,75,70.0,55.0,337,1430.0,7.0,1440,1437,-3,0,0,,,,,,
22242,2015,1,2,5,WN,2598,N346SW,LAX,SFO,1325,1348,23,7.0,1355.0,80,66.0,55.0,337,1450.0,4.0,1445,1454,9,0,0,,,,,,
22316,2015,1,2,5,VX,929,N839VA,LAX,SFO,1330,1335,5,16.0,1351.0,75,78.0,55.0,337,1446.0,7.0,1445,1453,8,0,0,,,,,,
23508,2015,1,2,5,WN,1187,N670SW,LAX,SFO,1440,1450,10,5.0,1455.0,75,65.0,56.0,337,1551.0,4.0,1555,1555,0,0,0,,,,,,
24088,2015,1,2,5,UA,1670,N12218,LAX,SFO,1513,1529,16,14.0,1543.0,79,71.0,53.0,337,1636.0,4.0,1632,1640,8,0,0,,,,,,
24124,2015,1,2,5,WN,2687,N346SW,SFO,LAX,1515,1527,12,6.0,1533.0,85,64.0,52.0,337,1625.0,6.0,1640,1631,-9,0,0,,,,,,
24174,2015,1,2,5,UA,390,N425UA,SFO,LAX,1519,1516,-3,14.0,1530.0,90,81.0,54.0,337,1624.0,13.0,1649,1637,-12,0,0,,,,,,
24433,2015,1,2,5,VX,932,N844VA,SFO,LAX,1535,1540,5,16.0,1556.0,80,77.0,56.0,337,1652.0,5.0,1655,1657,2,0,0,,,,,,
24522,2015,1,2,5,VX,933,N528VA,LAX,SFO,1540,1540,0,9.0,1549.0,80,69.0,54.0,337,1643.0,6.0,1700,1649,-11,0,0,,,,,,
24805,2015,1,2,5,UA,205,N828UA,LAX,SFO,1557,1720,83,26.0,1746.0,81,87.0,57.0,337,1843.0,4.0,1718,1847,89,0,0,,6.0,0.0,6.0,77.0,0.0
24866,2015,1,2,5,AA,209,N3JJAA,LAX,SFO,1600,1556,-4,18.0,1614.0,75,78.0,56.0,337,1710.0,4.0,1715,1714,-1,0,0,,,,,,
25013,2015,1,2,5,VX,936,N849VA,SFO,LAX,1610,1606,-4,15.0,1621.0,80,76.0,54.0,337,1715.0,7.0,1730,1722,-8,0,0,,,,,,
25275,2015,1,2,5,WN,1276,N670SW,SFO,LAX,1625,1625,0,8.0,1633.0,80,67.0,54.0,337,1727.0,5.0,1745,1732,-13,0,0,,,,,,
25312,2015,1,2,5,UA,1251,N78448,SFO,LAX,1627,1651,24,11.0,1702.0,88,75.0,52.0,337,1754.0,12.0,1755,1806,11,0,0,,,,,,
25428,2015,1,2,5,VX,923,N622VA,LAX,SFO,1635,1713,38,14.0,1727.0,75,72.0,53.0,337,1820.0,5.0,1750,1825,35,0,0,,0.0,0.0,35.0,0.0,0.0
26018,2015,1,2,5,WN,2776,N346SW,LAX,SFO,1710,1710,0,10.0,1720.0,75,73.0,57.0,337,1817.0,6.0,1825,1823,-2,0,0,,,,,,
26075,2015,1,2,5,VX,945,N634VA,LAX,SFO,1715,1852,97,12.0,1904.0,75,72.0,54.0,337,1958.0,6.0,1830,2004,94,0,0,,0.0,0.0,0.0,94.0,0.0
26139,2015,1,2,5,UA,746,N422UA,LAX,SFO,1716,1718,2,20.0,1738.0,85,80.0,56.0,337,1834.0,4.0,1841,1838,-3,0,0,,,,,,
26764,2015,1,2,5,WN,1585,N602SW,SFO,LAX,1750,1746,-4,20.0,1806.0,85,105.0,57.0,337,1903.0,28.0,1915,1931,16,0,0,,16.0,0.0,0.0,0.0,0.0
26954,2015,1,2,5,AA,219,N3KFAA,LAX,SFO,1800,1754,-6,12.0,1806.0,80,71.0,56.0,337,1902.0,3.0,1920,1905,-15,0,0,,,,,,
27048,2015,1,2,5,AA,209,N3JJAA,SFO,LAX,1805,1807,2,11.0,1818.0,80,81.0,58.0,337,1916.0,12.0,1925,1928,3,0,0,,,,,,
27206,2015,1,2,5,WN,1365,N670SW,LAX,SFO,1815,1824,9,12.0,1836.0,75,73.0,56.0,337,1932.0,5.0,1930,1937,7,0,0,,,,,,
27327,2015,1,2,5,UA,1676,N16234,SFO,LAX,1824,1824,0,13.0,1837.0,91,80.0,54.0,337,1931.0,13.0,1955,1944,-11,0,0,,,,,,
27339,2015,1,2,5,VX,941,N849VA,LAX,SFO,1825,1824,-1,14.0,1838.0,80,75.0,56.0,337,1934.0,5.0,1945,1939,-6,0,0,,,,,,
27500,2015,1,2,5,VX,938,N622VA,SFO,LAX,1835,1905,30,18.0,1923.0,80,80.0,58.0,337,2021.0,4.0,1955,2025,30,0,0,,0.0,0.0,0.0,30.0,0.0
27777,2015,1,2,5,UA,156,N37468,LAX,SFO,1851,1902,11,14.0,1916.0,85,71.0,54.0,337,2010.0,3.0,2016,2013,-3,0,0,,,,,,
28209,2015,1,2,5,UA,1605,N45440,SFO,LAX,1920,1919,-1,18.0,1937.0,84,90.0,55.0,337,2032.0,17.0,2044,2049,5,0,0,,,,,,
28215,2015,1,2,5,VX,942,N525VA,SFO,LAX,1920,1916,-4,15.0,1931.0,80,81.0,53.0,337,2024.0,13.0,2040,2037,-3,0,0,,,,,,
28613,2015,1,2,5,WN,2791,N602SW,LAX,SFO,1945,2000,15,11.0,2011.0,75,74.0,58.0,337,2109.0,5.0,2100,2114,14,0,0,,,,,,
28886,2015,1,2,5,UA,327,N812UA,LAX,SFO,2000,2016,16,20.0,2036.0,83,78.0,55.0,337,2131.0,3.0,2123,2134,11,0,0,,,,,,
28922,2015,1,2,5,WN,1454,N670SW,SFO,LAX,2000,2005,5,7.0,2012.0,80,71.0,54.0,337,2106.0,10.0,2120,2116,-4,0,0,,,,,,
29082,2015,1,2,5,AA,219,N3KFAA,SFO,LAX,2010,2003,-7,16.0,2019.0,90,117.0,56.0,337,2115.0,45.0,2140,2200,20,0,0,,20.0,0.0,0.0,0.0,0.0
29218,2015,1,2,5,AA,2465,N3JJAA,LAX,SFO,2020,2021,1,20.0,2041.0,80,99.0,57.0,337,2138.0,22.0,2140,2200,20,0,0,,20.0,0.0,0.0,0.0,0.0
29293,2015,1,2,5,VX,947,N853VA,LAX,SFO,2030,2038,8,11.0,2049.0,75,88.0,54.0,337,2143.0,23.0,2145,2206,21,0,0,,5.0,0.0,16.0,0.0,0.0
29294,2015,1,2,5,VX,948,N852VA,SFO,LAX,2030,2025,-5,11.0,2036.0,80,73.0,53.0,337,2129.0,9.0,2150,2138,-12,0,0,,,,,,
30448,2015,1,2,5,UA,263,N806UA,LAX,SFO,2235,2248,13,18.0,2306.0,84,76.0,53.0,337,2359.0,5.0,2359,0004,5,0,0,,,,,,
30495,2015,1,2,5,UA,737,N848UA,SFO,LAX,2249,2245,-4,27.0,2312.0,85,110.0,53.0,337,5.0,30.0,0014,0035,21,0,0,,21.0,0.0,0.0,0.0,0.0
30999,2015,1,3,6,UA,460,N848UA,LAX,SFO,0600,0554,-6,15.0,609.0,86,74.0,56.0,337,705.0,3.0,0726,0708,-18,0,0,,,,,,
31004,2015,1,3,6,UA,635,N842UA,SFO,LAX,0600,0554,-6,13.0,607.0,87,92.0,54.0,337,701.0,25.0,0727,0726,-1,0,0,,,,,,
31928,2015,1,3,6,VX,922,N639VA,SFO,LAX,0645,0641,-4,8.0,649.0,80,66.0,52.0,337,741.0,6.0,0805,0747,-18,0,0,,,,,,
32152,2015,1,3,6,VX,925,N524VA,LAX,SFO,0700,0657,-3,9.0,706.0,80,69.0,55.0,337,801.0,5.0,0820,0806,-14,0,0,,,,,,
32775,2015,1,3,6,AA,76,N3ERAA,SFO,LAX,0730,0720,-10,15.0,735.0,85,115.0,56.0,337,831.0,44.0,0855,0915,20,0,0,,20.0,0.0,0.0,0.0,0.0
33042,2015,1,3,6,WN,1545,N670SW,LAX,SFO,0750,0748,-2,12.0,800.0,75,71.0,55.0,337,855.0,4.0,0905,0859,-6,0,0,,,,,,
33096,2015,1,3,6,WN,2331,N626SW,SFO,LAX,0755,0753,-2,10.0,803.0,80,81.0,51.0,337,854.0,20.0,0915,0914,-1,0,0,,,,,,
33155,2015,1,3,6,VX,1930,N361VA,SFO,LAX,0800,0757,-3,18.0,815.0,80,78.0,53.0,337,908.0,7.0,0920,0915,-5,0,0,,,,,,
33559,2015,1,3,6,UA,479,N848UA,SFO,LAX,0820,0819,-1,14.0,833.0,88,78.0,49.0,337,922.0,15.0,0948,0937,-11,0,0,,,,,,
33618,2015,1,3,6,UA,447,N849UA,LAX,SFO,0823,0912,49,18.0,930.0,98,77.0,57.0,337,1027.0,2.0,1001,1029,28,0,0,,0.0,0.0,28.0,0.0,0.0
34330,2015,1,3,6,WN,920,N602SW,SFO,LAX,0905,0900,-5,10.0,910.0,80,74.0,57.0,337,1007.0,7.0,1025,1014,-11,0,0,,,,,,
34391,2015,1,3,6,VX,935,N639VA,LAX,SFO,0910,0905,-5,6.0,911.0,80,66.0,55.0,337,1006.0,5.0,1030,1011,-19,0,0,,,,,,
34885,2015,1,3,6,WN,2006,N626SW,LAX,SFO,0945,0945,0,8.0,953.0,75,69.0,58.0,337,1051.0,3.0,1100,1054,-6,0,0,,,,,,
34979,2015,1,3,6,AA,2378,N3BVAA,LAX,SFO,0950,0947,-3,17.0,1004.0,85,82.0,58.0,337,1102.0,7.0,1115,1109,-6,0,0,,,,,,
35156,2015,1,3,6,WN,1286,N687SW,SFO,LAX,1000,1005,5,6.0,1011.0,80,67.0,54.0,337,1105.0,7.0,1120,1112,-8,0,0,,,,,,
35393,2015,1,3,6,UA,653,N851UA,SFO,LAX,1012,1013,1,11.0,1024.0,93,77.0,53.0,337,1117.0,13.0,1145,1130,-15,0,0,,,,,,
